MESSAGE_CREATE,GUILD_MEMBER_UPDATE,TYPING_START
7263,6628,4008
7284,6635,4021
7307,6642,4035
7323,6656,4049
7343,6671,4061
7355,6681,4074
7377,6687,4090
7424,6702,4109
7441,6718,4129
7456,6724,4149
7477,6737,4168
7497,6747,4181
7516,6757,4199
7530,6764,4219
7544,6778,4233
7563,6788,4250
7586,6797,4276
7608,6806,4297
7654,6819,4320
7670,6829,4331
7696,6838,4352
7726,6851,4368
7756,6856,4389
7788,6867,4404
7805,6882,4419
7826,6895,4436
7849,6899,4449
7868,6910,4463
7883,6923,4473
7898,6936,4478
7908,6943,4489
7924,6952,4509
7937,6965,4518
7943,6972,4522
7952,6981,4527
7956,6997,4531
7957,7006,4532
7972,7011,4538
7982,7029,4548
7989,7041,4556
8024,7053,4565
8043,7060,4572
8069,7071,4579
8086,7082,4587
8090,7089,4590
8105,7102,4597
8110,7115,4598
8113,7125,4599
8126,7137,4609
8134,7152,4611
8145,7163,4618
8156,7169,4626
8173,7184,4638
8193,7191,4648
8212,7209,4664
8215,7218,4669
8215,7222,4670
8217,7233,4673
8220,7239,4680
8230,7250,4684
8237,7254,4690
8244,7266,4698
8259,7284,4707
8267,7291,4717
8278,7311,4725
8282,7315,4735
8290,7323,4741
8298,7334,4746
8301,7348,4754
8307,7355,4763
8326,7374,4771
8334,7389,4782
8349,7401,4791
8358,7410,4799
8368,7426,4808
8377,7437,4814
8387,7455,4823
8395,7466,4828
8399,7476,4837
8405,7488,4844
8410,7496,4850
8416,7509,4858
8432,7513,4874
8447,7524,4883
8463,7540,4897
8469,7549,4903
8475,7558,4912
8484,7568,4919
8494,7576,4928
8502,7589,4933
8511,7605,4939
8518,7617,4940
8529,7635,4946
8530,7642,4946
8538,7647,4948
8543,7653,4953
8559,7666,4961
8569,7680,4968
8581,7687,4975
8597,7697,4986
8619,7708,4994
8635,7718,5005
8649,7730,5012
8670,7745,5025
8686,7757,5038
8703,7766,5049
8714,7772,5057
8725,7782,5066
8801,7796,5085
8855,7815,5104
8869,7819,5119
8886,7832,5132
8899,7849,5145
8921,7868,5155
8934,7874,5161
8942,7891,5169
8948,7904,5173
8967,7912,5179
8979,7925,5189
8991,7934,5194
9018,7947,5199
9025,7958,5205
9034,7968,5213
9041,7975,5221
9050,7986,5230
9062,7997,5244
9075,8010,5255
9101,8019,5277
9127,8037,5294
9138,8048,5305
9155,8059,5326
